1	Midwest Houston	Amer	95.5	74.8	61.6	43.8	27.8	17.6
1	South	Alabama	SEC	96.8	72.2	51.4	35.5	23.4	13.9
2	West	UCLA	P12	95	71.4	44.9	26.8	15	8.5
1	East	Purdue	B10	97.9	64.9	37.1	24.8	13.1	6.8
4	East	Tennessee	SEC	85.1	61.3	34.8	23.8	12.9	6.7
4	West	Connecticut	BE	81.8	50.2	31.8	17.9	9.7	5.3
2	Midwest	Texas	B12	87.3	57	37.4	18.5	9.4	4.9
3	West	Gonzaga	WCC	89	62.7	32.4	17.1	8.7	4.4
2	South	Arizona	P12	87.3	59.1	34.9	16.6	8.8	4.2
5	South	San_Diego_St.	MWC	78.3	56.7	25.2	14.2	7.7	3.4
2	East	Marquette	BE	81.7	53.1	33.6	15.2	6.8	2.9
5	West	Saint_Marys	WCC	76.3	38.4	22.5	11.3	5.6	2.8
1	West	Kansas	B12	94	57.4	26.8	12.4	5.7	2.6
3	South	Baylor	B12	85.5	48.3	25.1	10.5	5.1	2.1
6	South	Creighton	BE	68.5	37.4	19.2	7.8	3.7	1.5
7	Midwest	Texas_A&M	SEC	64.7	28.9	16.6	6.7	2.7	1.1
3	East	Kansas_St.	B12	76.4	44.1	22	8.1	3	1
3	Midwest	Xavier	BE	81.8	45.4	19.8	7.4	2.8	1
6	Midwest	Iowa_St.	B12	69.1	38.7	17.2	6.7	2.5	0.9
8	East	Memphis	Amer	60.2	23.3	10.6	5.9	2.4	0.9
8	West	Arkansas	SEC	64.3	30	12.2	4.9	2	0.8
5	East	Duke	ACC	68.4	26.5	10.5	5.6	2.1	0.7
6	East	Kentucky	SEC	61.8	32.7	15.3	5.3	1.8	0.6
10	South	Utah_St.	MWC	63.8	26.9	12.3	4.2	1.8	0.6
9	South	West_Virginia	B12	57.6	17.1	8.5	4	1.8	0.6
9	Midwest	Auburn	SEC	59.7	16.1	9.8	4.5	1.6	0.6
6	West	TCU	B12	64.9	25.3	9.3	3.5	1.3	0.5
7	East	Michigan_St.	B10	55.2	24.3	12.3	4.3	1.3	0.4
4	Midwest	Indiana	B10	64.5	35.1	9.5	3.7	1.2	0.4
4	South	Virginia	ACC	70	27	7.7	3	1.1	0.3
9	East	Florida_Atlantic	CUSA	39.8	11.8	4.2	2	0.7	0.2
8	South	Maryland	B10	42.4	10.4	4.4	1.7	0.7	0.2
5	Midwest	Miami_FL	ACC	52.2	27	6.7	2.4	0.6	0.2
10	East	USC	P12	44.8	17.4	7.8	2.2	0.6	0.2
10	West	Boise_St.	MWC	52.5	14.9	5.8	2.1	0.6	0.2
12	Midwest	Drake	MVC	47.8	23.6	5.3	2	0.5	0.2
7	West	Northwestern	B10	47.5	13	4.8	1.6	0.5	0.1
8	Midwest	Iowa	B10	40.3	8.5	4.3	1.5	0.4	0.1
11	East	Providence	BE	38.2	16.2	5.9	1.4	0.4	0.1
10	Midwest	Penn_St.	B10	35.3	11.3	4.6	1.3	0.4	0.1
11	South	North_Carolina_St.	ACC	31.5	11.7	3.8	0.9	0.3	0.1
9	West	Illinois	B10	35.7	12	3.3	0.9	0.3	0.1
7	South	Missouri	SEC	36.2	11	3.6	0.8	0.2	0.1
13	Midwest	Kent_St.	MAC	35.5	14.3	2.6	0.7	0.1	0
12	East	Oral_Roberts	Sum	31.6	7.5	1.8	0.6	0.1	0
12	West	VCU	A10	23.7	6.2	1.9	0.5	0.1	0
12	South	College_of_Charleston	CAA	21.7	9.6	1.8	0.5	0.1	0
13	West	Iona	MAAC	18.2	5.2	1.5	0.3	0.1	0
11	West	Arizona_St.	P12	35.1  9.4	2.5	0.7	0.2	0
14	East	Montana_St.	BSky	23.5	6.9	1.7	0.3	0	0
13	East	Louisiana_Lafayette	SB	14.9	4.7	0.9	0.3	0	0
15	East	Vermont	AE	18.3	5.2	1.4	0.2	0	0
13	South	Furman	SC	30	6.7	1	0.2	0	0
11	Midwest	Pittsburgh	ACC	31	11.7	3.1	0.8	0.1	0
15	Midwest	Colgate	Pat	12.7	2.8	0.7	0.1	0	0
14	Midwest	Kennesaw_St.	ASun	18.2	4.2	0.6	0.1	0	0
15	South	Princeton	Ivy	12.7	3.1	0.6	0.1	0	0
14	West	Grand_Canyon	WAC	11	2.6	0.4	0.1	0	0
14	South	UC_Santa_Barbara	BW	14.5	2.6	0.4	0	0	0
15	West	UNC_Asheville	BSth	5	0.7	0.1	0	0	0
16	Midwest	Northern_Kentucky	Horz	4.5	0.6	0.1	0	0	0
16	West	Howard	MEAC	6	0.6	0	0	0	0
16	South	Texas_A&M_Corpus_Chris	Slnd	3.2	0.3	0	0	0	0
16	East	Fairleigh_Dickinson	NEC	1.4	0	0	0	0	0
